id,food_pref,time_foraging,food_gathered
1,mushrooms,153.018109,82.36923636
2,mushrooms,178.8797997,67.87291856
3,mushrooms,173.5370168,80.74744188
4,mushrooms,162.5174662,76.53735035
5,mushrooms,160.7620218,70.78468689
6,mushrooms,175.6796795,73.76605526
7,mushrooms,155.6089072,87.17631617
8,mushrooms,160.6069128,61.31755554
9,mushrooms,147.0338443,89.45821083
10,mushrooms,151.0391993,53.87725666
11,mushrooms,199.4948158,120.1788749
12,mushrooms,151.1702558,97.95277145
13,mushrooms,182.1174675,55.16977476
14,mushrooms,190.7096052,83.16192378
15,mushrooms,189.3747858,84.76275016
16,mushrooms,160.2157111,74.66136438
17,mushrooms,183.2163069,76.76433462
18,mushrooms,199.1960588,45.79649139
19,mushrooms,183.5141178,36.66360683
20,mushrooms,143.758585,73.63854116
21,mushrooms,138.9827156,39.18350921
22,mushrooms,173.7745258,40.81644806
23,mushrooms,139.1643107,41.85721689
24,mushrooms,142.1924564,70.34963545
25,mushrooms,154.3037437,93.25975663
26,mushrooms,173.1363865,65.55964647
27,mushrooms,141.1050207,41.8904033
28,mushrooms,206.3184427,68.49709124
29,mushrooms,169.9584386,79.5556321
30,mushrooms,175.8328387,63.90399313
31,mushrooms,214.0682038,116.5265396
32,mushrooms,175.7591796,89.00901204
33,mushrooms,160.4903669,82.36177662
34,mushrooms,230.9828291,110.818486
35,mushrooms,164.0612986,75.44073485
36,mushrooms,192.6391744,57.8684705
37,mushrooms,172.3230067,58.25181207
38,mushrooms,167.7797413,53.19138028
39,mushrooms,166.5146176,22.87325123
40,mushrooms,205.2014996,101.2301625
41,mushrooms,172.273332,76.74529054
42,mushrooms,188.8772005,80.08291246
43,mushrooms,168.3609845,83.79150631
44,mushrooms,182.3742635,67.77695965
45,mushrooms,206.3553631,75.91784705
46,mushrooms,204.4634016,108.0337385
47,mushrooms,141.77341,32.08218223
48,mushrooms,188.0646671,113.1816307
49,mushrooms,172.7596833,65.22488261
50,mushrooms,190.00465,100.0565181
51,mushrooms,144.5345059,55.61053645
52,mushrooms,212.829298,92.29390928
53,mushrooms,179.0925491,108.1071235
54,mushrooms,192.1197033,101.5948607
55,mushrooms,172.985048,75.16797129
56,mushrooms,181.5079469,85.82385231
57,mushrooms,125.7827648,46.54428768
58,mushrooms,173.9866257,76.01077725
59,mushrooms,172.5299294,17.09380475
60,mushrooms,157.4030526,65.7285686
61,mushrooms,164.7523792,59.69935887
62,mushrooms,163.7370798,69.18509245
63,mushrooms,165.211333,77.84541424
64,mushrooms,177.194943,103.2194382
65,mushrooms,186.2995488,71.06371474
66,mushrooms,156.2487387,83.80306178
67,mushrooms,217.4512429,117.1305212
68,mushrooms,200.8292282,116.3152824
69,mushrooms,175.4062083,92.75261309
70,mushrooms,203.3966397,112.528217
71,mushrooms,180.2905143,60.10503644
72,mushrooms,166.6355515,66.46608752
73,mushrooms,153.7037008,68.95778414
74,mushrooms,161.2886962,45.81773827
75,mushrooms,168.2425259,59.34549916
76,mushrooms,160.2275751,73.64293617
77,mushrooms,164.4414589,80.68602874
78,mushrooms,170.4865962,80.06803635
79,mushrooms,196.0082047,76.25439397
80,mushrooms,141.9609164,26.84288563
81,mushrooms,177.8024366,105.8439107
82,mushrooms,141.5383568,51.89563202
83,mushrooms,156.7056623,61.46648399
84,mushrooms,138.1727556,41.9789758
85,mushrooms,170.0898283,48.70543775
86,mushrooms,177.7008074,88.90283297
87,mushrooms,181.8774988,76.89550334
88,mushrooms,200.8846974,93.50743303
89,mushrooms,148.5820363,70.45298537
90,mushrooms,167.5902583,84.33437872
91,mushrooms,165.2351105,93.02903353
92,mushrooms,176.7284809,67.72215795
93,mushrooms,181.3332016,92.67221605
94,mushrooms,171.944981,98.647363
95,mushrooms,168.6395983,49.05040802
96,mushrooms,156.9793014,43.93263636
97,mushrooms,181.9645463,59.85302769
98,mushrooms,180.9817216,52.89902559
99,mushrooms,169.7211655,72.2429052
100,mushrooms,166.2365739,80.04254989
101,mushrooms,170.036893,93.48598937
102,mushrooms,156.2839319,79.0083728
103,mushrooms,169.1354217,51.48019689
104,mushrooms,157.0104288,94.65956996
105,mushrooms,169.4389059,58.03113962
106,mushrooms,184.2167063,84.89880991
107,mushrooms,174.1996852,66.60665508
108,mushrooms,164.101942,63.73562354
109,mushrooms,175.1365978,78.81759245
110,mushrooms,175.9614326,78.21870823
111,mushrooms,183.2889304,81.67521935
112,mushrooms,163.2590758,67.33959241
113,mushrooms,173.5312425,64.86275238
114,mushrooms,129.3630137,27.40428022
115,mushrooms,189.4537423,56.23857817
116,mushrooms,175.3888063,68.3527644
117,mushrooms,196.9215024,84.0042823
118,mushrooms,138.1147826,94.75531251
119,mushrooms,190.3859587,62.61686085
120,mushrooms,171.1108861,74.4822563
121,mushrooms,168.4088172,41.69220776
122,mushrooms,157.597279,33.04308552
123,mushrooms,178.1815447,80.18758895
124,mushrooms,188.5605452,67.92273889
125,mushrooms,170.7788405,71.60060379
126,mushrooms,155.6109626,50.87739897
127,mushrooms,177.0258874,65.39891546
128,mushrooms,186.1842232,46.68782659
129,mushrooms,169.3091187,47.48028564
130,mushrooms,159.6744861,65.66505843
131,mushrooms,150.4167941,65.15030476
132,mushrooms,214.0558188,98.76933728
133,mushrooms,196.2513499,93.03607197
134,mushrooms,187.8300324,106.973422
135,mushrooms,156.9091697,86.92755691
136,mushrooms,207.6451508,82.07600092
137,mushrooms,179.6444384,76.88746095
138,mushrooms,157.8418204,83.25053512
139,mushrooms,142.5092357,39.09418982
140,mushrooms,179.3874079,77.88511271
141,mushrooms,175.6051376,74.07802846
142,mushrooms,176.8902087,60.15721185
143,mushrooms,188.812815,78.4638481
144,mushrooms,233.4467877,123.7328207
145,mushrooms,149.9671844,46.4051915
146,mushrooms,172.5567598,93.96406029
147,mushrooms,191.312796,79.88467779
148,mushrooms,172.5363206,65.00498857
149,mushrooms,180.6892948,93.00170484
150,mushrooms,165.6030027,47.5176902
151,mushrooms,183.2053406,81.31294728
152,mushrooms,170.4833375,42.3511737
153,mushrooms,170.1377517,92.93827579
154,mushrooms,194.5559502,86.48959437
155,mushrooms,164.5594019,57.65442641
